DATE_TIME,STATION,TOTAL_TRAFFIC
2017-03-03 16:00:00,34 ST-PENN STA,103246.5
2017-03-08 16:00:00,34 ST-PENN STA,102200.5
2017-03-02 16:00:00,34 ST-PENN STA,101684.0
2017-03-31 16:00:00,34 ST-PENN STA,101107.5
2017-03-16 16:00:00,34 ST-PENN STA,101044.83
2017-03-06 16:00:00,34 ST-PENN STA,100962.5
2017-03-17 16:00:00,34 ST-PENN STA,100701.66477272904
2017-03-07 16:00:00,34 ST-PENN STA,100529.0
2017-03-09 16:00:00,34 ST-PENN STA,99301.0
2017-03-10 16:00:00,34 ST-PENN STA,99195.0
2017-03-08 16:00:00,GRD CNTRL-42 ST,97511.0
2017-03-01 16:00:00,34 ST-PENN STA,97383.5
2017-03-02 16:00:00,GRD CNTRL-42 ST,96882.75
2017-03-07 16:00:00,GRD CNTRL-42 ST,96859.0
2017-05-25 16:00:00,34 ST-PENN STA,96729.75
2017-05-18 16:00:00,34 ST-PENN STA,96611.216709622
2017-03-09 16:00:00,GRD CNTRL-42 ST,96460.5
2017-05-17 16:00:00,34 ST-PENN STA,96203.49570446735
2017-05-16 16:00:00,34 ST-PENN STA,94679.04982817869
2017-05-04 16:00:00,34 ST-PENN STA,94420.25000000001
2017-04-19 16:00:00,34 ST-PENN STA,94400.05490918021
2017-03-13 16:00:00,34 ST-PENN STA,94301.5
2017-03-29 16:00:00,34 ST-PENN STA,94251.75
2017-03-07 08:00:00,34 ST-PENN STA,94225.6
2017-03-03 16:00:00,GRD CNTRL-42 ST,94145.0
2017-03-06 16:00:00,GRD CNTRL-42 ST,94132.25
2017-04-13 16:00:00,34 ST-PENN STA,93754.75
2017-03-30 16:00:00,34 ST-PENN STA,93533.5
2017-05-19 16:00:00,34 ST-PENN STA,93418.5
2017-03-31 16:00:00,GRD CNTRL-42 ST,93325.05357142666
2017-03-28 16:00:00,34 ST-PENN STA,92990.25
2017-04-27 16:00:00,34 ST-PENN STA,92989.25
2017-04-25 16:00:00,34 ST-PENN STA,92618.625
2017-03-10 16:00:00,GRD CNTRL-42 ST,92253.0
2017-04-18 16:00:00,34 ST-PENN STA,92042.57596956311
2017-05-22 16:00:00,34 ST-PENN STA,91960.25
2017-05-23 16:00:00,34 ST-PENN STA,91789.25
2017-05-15 16:00:00,34 ST-PENN STA,91719.22895189002
2017-04-07 16:00:00,34 ST-PENN STA,91589.63888891172
2017-03-09 08:00:00,34 ST-PENN STA,91174.5
2017-03-13 16:00:00,GRD CNTRL-42 ST,91144.08651232856
2017-05-09 16:00:00,34 ST-PENN STA,91032.25000000994
2017-03-08 08:00:00,34 ST-PENN STA,91023.0
2017-05-11 16:00:00,34 ST-PENN STA,90952.0
2017-03-06 08:00:00,34 ST-PENN STA,90858.5
2017-05-24 16:00:00,34 ST-PENN STA,90780.75
2017-05-12 16:00:00,34 ST-PENN STA,90777.80000000028
2017-05-10 16:00:00,34 ST-PENN STA,90570.29999999751
2017-05-02 16:00:00,34 ST-PENN STA,90535.64204545505
2017-05-05 16:00:00,34 ST-PENN STA,90254.875
2017-04-12 16:00:00,34 ST-PENN STA,90123.0
2017-03-02 08:00:00,34 ST-PENN STA,89970.0
2017-04-26 16:00:00,34 ST-PENN STA,89504.5
2017-04-11 16:00:00,34 ST-PENN STA,89318.75
2017-04-06 16:00:00,GRD CNTRL-42 ST,89255.55357142666
2017-03-16 16:00:00,GRD CNTRL-42 ST,89183.45188484249
2017-03-01 08:00:00,34 ST-PENN STA,89101.5
2017-04-28 16:00:00,34 ST-PENN STA,89009.76050420209
2017-05-03 16:00:00,34 ST-PENN STA,88795.1875
2017-03-15 16:00:00,34 ST-PENN STA,88700.5
2017-03-27 16:00:00,34 ST-PENN STA,88569.0
2017-03-01 16:00:00,GRD CNTRL-42 ST,88491.5
2017-04-06 16:00:00,34 ST-PENN STA,88054.16666666651
2017-04-25 16:00:00,GRD CNTRL-42 ST,88027.45000000116
2017-04-10 16:00:00,34 ST-PENN STA,87973.375
2017-05-30 16:00:00,34 ST-PENN STA,87652.5
2017-05-25 16:00:00,GRD CNTRL-42 ST,87642.49290399608
2017-03-03 16:00:00,34 ST-HERALD SQ,87453.0
2017-03-28 16:00:00,GRD CNTRL-42 ST,87054.5
2017-04-24 16:00:00,34 ST-PENN STA,87035.5
2017-05-31 16:00:00,34 ST-PENN STA,86801.75
2017-04-19 16:00:00,GRD CNTRL-42 ST,86554.5
2017-05-04 16:00:00,GRD CNTRL-42 ST,86187.14024390244
2017-05-08 16:00:00,34 ST-PENN STA,86157.75
2017-05-18 16:00:00,GRD CNTRL-42 ST,86138.44290399516
2017-03-09 16:00:00,34 ST-HERALD SQ,85951.0
2017-03-08 16:00:00,34 ST-HERALD SQ,85477.0
2017-03-15 16:00:00,GRD CNTRL-42 ST,85373.5928804439
2017-05-22 16:00:00,GRD CNTRL-42 ST,85251.5281981109
2017-05-11 16:00:00,GRD CNTRL-42 ST,84969.6929039951
2017-04-13 16:00:00,GRD CNTRL-42 ST,84920.80357142666
2017-05-03 16:00:00,GRD CNTRL-42 ST,84670.91463414633
