DATE_TIME,STATION,TOTAL_TRAFFIC,date,time
3/3/17 16:00,34 ST-PENN STA,103246.5,3/3/17,16:00:00
3/8/17 16:00,34 ST-PENN STA,102200.5,3/8/17,16:00:00
3/2/17 16:00,34 ST-PENN STA,101684,3/2/17,16:00:00
3/31/17 16:00,34 ST-PENN STA,101107.5,3/31/17,16:00:00
3/16/17 16:00,34 ST-PENN STA,101044.83,3/16/17,16:00:00
3/6/17 16:00,34 ST-PENN STA,100962.5,3/6/17,16:00:00
3/17/17 16:00,34 ST-PENN STA,100701.6648,3/17/17,16:00:00
3/7/17 16:00,34 ST-PENN STA,100529,3/7/17,16:00:00
3/9/17 16:00,34 ST-PENN STA,99301,3/9/17,16:00:00
3/10/17 16:00,34 ST-PENN STA,99195,3/10/17,16:00:00
3/8/17 16:00,GRD CNTRL-42 ST,97511,3/8/17,16:00:00
3/1/17 16:00,34 ST-PENN STA,97383.5,3/1/17,16:00:00
3/2/17 16:00,GRD CNTRL-42 ST,96882.75,3/2/17,16:00:00
3/7/17 16:00,GRD CNTRL-42 ST,96859,3/7/17,16:00:00
5/25/17 16:00,34 ST-PENN STA,96729.75,5/25/17,16:00:00
5/18/17 16:00,34 ST-PENN STA,96611.21671,5/18/17,16:00:00
3/9/17 16:00,GRD CNTRL-42 ST,96460.5,3/9/17,16:00:00
5/17/17 16:00,34 ST-PENN STA,96203.4957,5/17/17,16:00:00
5/16/17 16:00,34 ST-PENN STA,94679.04983,5/16/17,16:00:00
5/4/17 16:00,34 ST-PENN STA,94420.25,5/4/17,16:00:00
4/19/17 16:00,34 ST-PENN STA,94400.05491,4/19/17,16:00:00
3/13/17 16:00,34 ST-PENN STA,94301.5,3/13/17,16:00:00
3/29/17 16:00,34 ST-PENN STA,94251.75,3/29/17,16:00:00
3/7/17 8:00,34 ST-PENN STA,94225.6,3/7/17,8:00:00
3/3/17 16:00,GRD CNTRL-42 ST,94145,3/3/17,16:00:00
3/6/17 16:00,GRD CNTRL-42 ST,94132.25,3/6/17,16:00:00
4/13/17 16:00,34 ST-PENN STA,93754.75,4/13/17,16:00:00
3/30/17 16:00,34 ST-PENN STA,93533.5,3/30/17,16:00:00
5/19/17 16:00,34 ST-PENN STA,93418.5,5/19/17,16:00:00
3/31/17 16:00,GRD CNTRL-42 ST,93325.05357,3/31/17,16:00:00
3/28/17 16:00,34 ST-PENN STA,92990.25,3/28/17,16:00:00
4/27/17 16:00,34 ST-PENN STA,92989.25,4/27/17,16:00:00
4/25/17 16:00,34 ST-PENN STA,92618.625,4/25/17,16:00:00
3/10/17 16:00,GRD CNTRL-42 ST,92253,3/10/17,16:00:00
4/18/17 16:00,34 ST-PENN STA,92042.57597,4/18/17,16:00:00
5/22/17 16:00,34 ST-PENN STA,91960.25,5/22/17,16:00:00
5/23/17 16:00,34 ST-PENN STA,91789.25,5/23/17,16:00:00
5/15/17 16:00,34 ST-PENN STA,91719.22895,5/15/17,16:00:00
4/7/17 16:00,34 ST-PENN STA,91589.63889,4/7/17,16:00:00
3/9/17 8:00,34 ST-PENN STA,91174.5,3/9/17,8:00:00
3/13/17 16:00,GRD CNTRL-42 ST,91144.08651,3/13/17,16:00:00
5/9/17 16:00,34 ST-PENN STA,91032.25,5/9/17,16:00:00
3/8/17 8:00,34 ST-PENN STA,91023,3/8/17,8:00:00
5/11/17 16:00,34 ST-PENN STA,90952,5/11/17,16:00:00
3/6/17 8:00,34 ST-PENN STA,90858.5,3/6/17,8:00:00
5/24/17 16:00,34 ST-PENN STA,90780.75,5/24/17,16:00:00
5/12/17 16:00,34 ST-PENN STA,90777.8,5/12/17,16:00:00
5/10/17 16:00,34 ST-PENN STA,90570.3,5/10/17,16:00:00
5/2/17 16:00,34 ST-PENN STA,90535.64205,5/2/17,16:00:00
5/5/17 16:00,34 ST-PENN STA,90254.875,5/5/17,16:00:00
4/12/17 16:00,34 ST-PENN STA,90123,4/12/17,16:00:00
